Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
hsa-miR-215	miRBase	495	-0.029335721073507317	0.833342955920124	0.4790149352204383	0.8766743052975573	down	735,  952,  1314,  1406,  1562,  2312,  2327,  2661,  2845,  3003,  4253,  5015,  5475,  5573,  5917,  5925,  6718,  8856,  10469,  10507,  10565,  26133,  26287,  26290,  51601,  57003,  64778,  83445,  83884,  84528,  84641,  84936,  146456,  148738,  164237,  221391,  340596
hsa-miR-192	miRBase	492	-0.029423344699798896	0.8328892854657466	0.47902737253050615	0.8766743052975573	down	735,  952,  1314,  1406,  1562,  1650,  2327,  2661,  2845,  3158,  4253,  5015,  5342,  5475,  5573,  5917,  5925,  6582,  8856,  10469,  10507,  10565,  22901,  23646,  26290,  51601,  55662,  57003,  83884,  84528,  84641,  84936,  122042,  164237,  221391,  254778,  353132
hsa-miR-587	miRBase	503	-0.028893443511755466	0.8356366178473931	0.4821218625584718	0.8766743052975573	down	667,  1314,  1803,  2444,  2712,  3428,  3751,  3950,  4982,  6354,  6605,  6894,  7050,  7141,  7392,  8318,  8660,  8942,  9113,  9859,  9897,  10157,  10283,  10565,  10738,  11080,  23165,  24148,  27258,  27440,  55340,  56914,  57047,  79815,  80319,  81285,  84071,  84648,  84693,  146456,  163479,  164237,  283316
hsa-miR-614	miRBase	427	-0.03130853371978353	0.8231883330811377	0.48259380518113915	0.8766743052975573	down	722,  831,  1118,  3046,  3884,  4303,  4319,  5001,  5015,  6361,  9044,  9409,  10407,  10498,  25791,  27258,  56942,  64222,  64425,  83549,  114771,  347732,  349236
hsa-miR-654	miRBase	520	-0.028342469212755676	0.8385028165430009	0.4833279337890157	0.8766743052975573	down	161,  416,  495,  640,  1856,  2691,  3851,  3990,  5148,  5159,  5365,  6618,  7106,  7169,  8241,  8483,  9427,  10469,  10803,  10993,  11045,  11138,  23646,  25791,  26040,  50700,  51106,  51548,  56654,  60343,  64902,  78987,  130120,  146779,  148979,  165904,  205147,  283316
hsa-miR-491	miRBase	506	-0.028689694932870494	0.8366953857875161	0.4838883729410708	0.8766743052975573	down	358,  972,  1415,  1440,  1473,  2876,  3623,  4212,  4358,  6403,  6618,  7869,  8241,  8326,  8431,  8943,  10407,  25960,  26037,  27248,  51442,  55867,  55897,  56287,  65989,  78987,  79089,  79149,  79815,  84936,  84946,  90362,  122664,  163778,  196477,  353140
mmu-miR-682	miRBase	489	-0.028959075824817167	0.8352958486332543	0.48711265066504994	0.8798003875088748	down	640,  1081,  2853,  2971,  3053,  4224,  5078,  5148,  6403,  6519,  6554,  6768,  8318,  9785,  10283,  10993,  25791,  26260,  55094,  55286,  55425,  57062,  57468,  57829,  64425,  78987,  79648,  79948,  84310,  84765,  89781,  148738,  196472,  349136
hsa-miR-147	miRBase	480	0.0277340051283671	1.1881006895619488	0.48913652719222056	0.8807458327050106	up	722,  1232,  1236,  1650,  3624,  4481,  6364,  7050,  7141,  7200,  8326,  9068,  9785,  10223,  10362,  10880,  23408,  27242,  29785,  51534,  63915,  91894,  112744,  114771,  115352,  128346,  136263,  163479,  163778,  253982,  353145,  388646
hsa-miR-22	miRBase	526	0.026434847273968016	1.17854687288855	0.4913945593472167	0.8821058297761963	up	312,  417,  585,  640,  915,  1369,  1436,  2103,  2242,  2312,  2845,  2984,  3851,  4212,  6605,  7388,  7869,  8625,  8647,  8722,  10407,  10469,  10505,  10771,  26515,  29855,  49860,  50814,  51693,  54600,  55867,  57094,  63827,  79906,  80201,  83445,  83733,  84342,  84929,  84946,  90523,  92579,  129807,  144809,  220042,  338323,  374955
hsa-miR-338	miRBase	520	0.026455779178961775	1.1787001924643496	0.4934202157481468	0.8830416665980554	up	495,  585,  640,  683,  790,  1109,  1308,  1999,  2052,  2207,  2820,  2835,  2971,  3293,  3851,  3918,  3990,  4815,  4908,  4982,  5314,  7106,  7141,  8483,  8521,  9270,  9581,  10934,  23646,  25959,  27440,  56654,  57214,  79949,  84295,  84648,  90523,  140890,  146779,  148581,  163778,  353145,  389376,  399967
L-Alanine	Drug Bank	12	0.13963011301058845	2.3815378419556366	0.49381263561106925	0.8179868583369243	up	8942,  64902
hsa-miR-134	miRBase	475	-0.028627014136876485	0.8370213727364044	0.49806197702224925	0.8886394544439523	down	72,  963,  1203,  1308,  1856,  2939,  3293,  4114,  4312,  4477,  4921,  5148,  5286,  6360,  6403,  6605,  6700,  6756,  10443,  10738,  23305,  50814,  55094,  56942,  79971,  80831,  81501,  84220,  90139,  135927,  140881,  143279,  146183,  171558,  256472,  280658,  282617,  374407
Etanercept	Drug Bank	13	0.13234252336150532	2.27608512668659	0.5036854100516406	0.8179868583369243	up	715
hsa-miR-571	miRBase	511	0.02602082336518119	1.1755183739313906	0.5042829090777788	0.8959937930090329	up	56,  486,  825,  1301,  1562,  2052,  2207,  2242,  2859,  3283,  3792,  3990,  4225,  5169,  5475,  5701,  5968,  6554,  6700,  7053,  7169,  9099,  9270,  10738,  10911,  11093,  23582,  26133,  79228,  79774,  79906,  81501,  84666,  84734,  112744,  124923,  126969,  132724,  148870,  148979,  151887,  161003,  222826,  340596,  353132,  353140
hsa-miR-548d	miRBase	660	-0.023938935788906705	0.8617663470043122	0.5052367044054342	0.8959937930090329	down	332,  831,  1118,  1236,  1646,  1650,  2187,  3624,  3950,  4238,  4303,  4703,  4982,  5015,  5169,  5232,  6354,  6894,  7200,  7678,  8600,  9099,  9414,  9491,  9622,  9934,  10771,  23408,  27237,  29855,  50939,  51280,  55303,  56287,  57179,  81696,  84707,  85417,  89845,  89910,  90523,  91543,  115330,  122664,  124923,  139596,  158521,  286464
hsa-miR-142-3p	miRBase	562	0.02453980604758456	1.1647486089192427	0.5103810527015151	0.9023905961921367	up	258,  416,  710,  727,  735,  939,  1081,  1420,  1580,  2444,  2774,  3043,  3053,  3195,  3346,  3428,  3442,  3467,  3586,  4117,  4225,  5333,  5917,  6779,  8431,  8660,  9113,  9409,  9414,  10505,  10720,  23373,  23582,  50939,  51106,  51430,  55601,  56547,  63827,  79020,  79906,  84071,  84693,  84930,  126969,  134553,  146802,  154075,  155465,  219844,  253982
Alefacept	Drug Bank	10	0.1439668739851678	2.446596074047063	0.5167886216584907	0.8179868583369243	up	715
hsa-miR-524	miRBase	536	-0.02568573817314823	0.8524618713918041	0.5182694516284122	0.904393468267032	down	312,  495,  722,  939,  949,  1308,  1769,  1999,  2661,  3053,  3292,  3906,  5159,  5365,  6247,  6407,  6894,  8416,  9099,  9414,  9828,  10362,  10478,  10507,  11093,  11104,  23582,  25789,  55205,  55998,  56654,  60343,  64425,  64902,  79701,  81558,  85397,  92579,  114771,  139596,  165530,  171558,  220042,  349136,  375307,  407977
hsa-miR-363*	miRBase	348	0.030135415096025936	1.2059646603762924	0.5190855297853674	0.904393468267032	up	686,  939,  1401,  3283,  4358,  5225,  5333,  5475,  7053,  7169,  8237,  9270,  9896,  10407,  23137,  23646,  54856,  57062,  64943,  65989,  79701,  81285,  83445,  83551,  84795,  93611,  128346,  163778,  171558,  284366
hsa-miR-548a	miRBase	617	-0.023871470671845755	0.8621277348994922	0.5200203978561568	0.904393468267032	down	225,  332,  686,  1429,  2173,  2187,  2205,  2939,  3292,  4224,  5169,  5521,  5624,  6605,  6627,  7141,  7429,  8318,  8600,  8743,  8840,  9068,  9414,  10771,  23408,  25957,  27072,  27237,  29855,  50939,  51504,  54600,  55285,  55601,  79149,  79959,  80896,  84666,  84707,  84946,  116511,  122011,  122769,  139596,  144501,  148979,  155465,  348094
