EntrezID	p.value	HPV+/HPV-
114908	0.006158791	4.57
57579	0.006198956	1.57
153642	0.006201384	2.77
283383	0.006220988	-1.79
1031	0.006225986	-3.72
4507	0.006282836	13.13
169522	0.006291682	-1.33
1056	0.006329609	7.63
22807	0.00635044	4.06
7349	0.006355827	-1.80
NA	0.00639952	-2.07
NA	0.006424071	-2.95
NA	0.006435205	-1.53
1290	0.0064488	-47.84
10413	0.006451526	4.42
57711	0.006553345	2.65
158947	0.006569587	2.26
11077	0.00665703	4.58
1646	0.006676113	-18.31
329	0.006700285	3.03
26298	0.006725547	6.59
5588	0.006728485	3.96
79644	0.006733372	-1.67
53346	0.006890784	1.41
NA	0.006943569	-1.32
83857	0.006971675	-13.12
NA	0.006972411	-2.67
65999	0.006995531	7.02
1016	0.007047137	-3.79
646268	0.007049786	2.05
26298	0.007096511	7.06
60680	0.00710478	-1.43
3122	0.007136136	-9.99
26468	0.007147453	5.31
347744	0.007164192	-1.68
284161	0.007195616	4.01
23022	0.007245148	1.39
NA	0.007307411	2.64
NA	0.007336492	1.64
26013	0.007446522	2.21
57458	0.007451159	6.74
5055	0.007501436	56.09
NA	0.007511601	-3.32
23108	0.007513256	4.99
NA	0.007522032	-1.87
10371	0.007557905	2.98
79956	0.007563243	4.18
1645	0.007608685	-14.42
55664	0.007643984	2.92
1645	0.00766793	-16.49
55790	0.007676625	-2.09
346689	0.007684735	5.46
NA	0.007704389	-1.29
NA	0.007737522	1.35
NA	0.007769869	1.68
2799	0.007878877	-2.90
54502	0.007923004	3.22
84545	0.00793926	-3.17
NA	0.007943245	2.01
NA	0.007944129	-2.30
56477	0.007947921	5.58
2019	0.007964685	-2.94
9848	0.008029961	-7.63
80117	0.00803729	7.57
196415	0.00808946	-1.33
3708	0.008109952	-3.78
284836	0.00813734	3.55
7476	0.008153802	5.80
81031	0.008299087	-11.61
4837	0.008317374	-10.09
163087	0.008340508	1.96
3752	0.008427275	1.27
26471	0.008473655	-19.17
4851	0.008497096	3.75
9966	0.008500982	3.18
163081	0.00850611	4.78
55745	0.008573901	-2.64
54970	0.008625886	-1.93
65267	0.0086678	1.56
1466	0.008675964	3.49
91746	0.00867983	-1.37
64417	0.008704428	2.33
100289373	0.008752133	3.62
84750	0.008833896	1.83
3423	0.008872385	-1.61
NA	0.008881559	-2.84
NA	0.008888109	-1.68
NA	0.008896483	-8.83
145508	0.008897988	1.74
26298	0.00891001	7.38
10439	0.00895993	4.96
55784	0.009010856	1.82
51366	0.009012329	2.23
162417	0.009038238	3.39
23189	0.009042998	5.64
NA	0.009067903	4.65
5584	0.009163531	2.64
NA	0.009191812	2.59
9468	0.009193526	-1.63
221336	0.009193975	-5.14
1056	0.009218867	7.15
6419	0.009219833	-2.38
NA	0.009231996	-1.62
23432	0.009241499	1.94
10228	0.00926784	1.66
NA	0.009269175	-1.38
2152	0.009279083	2.90
4837	0.009301276	-11.89
5787	0.009423515	-4.00
6303	0.009434228	3.00
117289	0.00943584	1.43
10413	0.009441188	5.50
51710	0.009442833	-1.31
401494	0.009548999	35.93
84440	0.009552346	2.01
80342	0.00960113	5.32
197342	0.009612023	-1.90
4139	0.009621506	3.15
NA	0.009625579	1.90
25818	0.009668235	36.47
85415	0.009744377	6.73
1734	0.009776277	-3.64
645722	0.00979236	-1.94
51676	0.009874773	3.87
NA	0.009882867	2.82
3717	0.009904912	2.55
2260	0.009933539	-1.46
716	0.009937593	-4.04
2119	0.009942502	-2.94
114088	0.00996207	1.57
860	0.009985888	-1.75
56126	0.009989492	-2.24
5027	0.010110475	-1.47
9388	0.010123485	32.87
285147	0.010136385	-1.57
10210	0.010181589	-1.71
339324	0.010191395	3.66
NA	0.010202192	-1.65
7761	0.0102401	1.47
64787	0.010253634	3.28
22872	0.010259147	3.73
10656	0.010278593	-1.33
NA	0.010342125	-1.35
5286	0.010357752	1.33
26973	0.010391374	2.70
8808	0.010396166	2.47
5923	0.010405062	15.75
4013	0.010432806	-3.11
23321	0.010446006	-4.20
112817	0.010475035	-2.07
NA	0.010489095	-6.05
1054	0.010515916	2.88
NA	0.010520174	-1.70
1153	0.010524302	-2.36
9815	0.010574386	3.43
26032	0.010630589	-6.17
NA	0.010635164	3.63
NA	0.010635204	-1.66
23705	0.010637962	-1.47
26996	0.010685597	7.96
55183	0.010705289	1.54
NA	0.010763208	1.27
150726	0.010793109	2.93
54502	0.010810914	3.06
149175	0.010819548	1.90
79956	0.010826652	6.90
29968	0.010858903	4.22
90102	0.010881701	2.87
55784	0.010943171	1.73
148987	0.010947493	1.28
64288	0.010960871	-7.86
9957	0.010966381	5.02
5584	0.010966977	2.39
54586	0.010992824	1.42
NA	0.011006861	-1.68
23682	0.011052225	7.50
158038	0.011079766	-1.99
NA	0.011090537	-2.92
NA	0.011107947	-3.53
346389	0.011200493	4.42
NA	0.011234004	2.33
79623	0.011255058	5.34
57393	0.011292224	24.52
8905	0.011350268	-2.67
669	0.011389074	2.03
57684	0.011392186	2.23
56928	0.011392962	-2.31
151827	0.011455491	16.08
9749	0.011477225	2.69
144406	0.011523957	4.08
130827	0.0115273	1.64
55785	0.011572962	3.31
220001	0.011588512	-1.50
8436	0.011611725	-2.86
NA	0.01163599	1.41
125058	0.011662449	-4.71
90102	0.011665226	1.99
5111	0.011697679	1.35
85016	0.011711297	6.02
56169	0.011721122	3.75
1298	0.011740325	6.36
56946	0.011742708	2.75
NA	0.011743823	-1.32
36	0.011801959	-2.48
255743	0.011836923	13.12
NA	0.011875759	2.10
90678	0.011888503	1.93
2524	0.011897157	2.64
NA	0.011898808	-1.33
NA	0.011922942	1.38
203238	0.011933541	-1.27
NA	0.011943585	1.66
54542	0.012035322	2.78
6383	0.01204247	-1.78
284161	0.012049867	1.80
83857	0.012050412	-3.47
58487	0.012053195	3.00
22858	0.012053509	-1.57
10319	0.012074874	2.90
7456	0.012106464	-7.65
NA	0.012133761	1.29
NA	0.012183235	1.28
51166	0.012224597	-2.69
5274	0.012226961	-7.70
10417	0.012252167	-15.45
8828	0.012277819	-3.49
5578	0.012278131	-2.14
1518	0.012299775	-1.93
2256	0.012304581	2.97
54436	0.012330328	3.38
NA	0.012346629	-3.52
158405	0.012368558	1.77
10371	0.012441382	3.51
8796	0.012494017	2.15
147949	0.012562614	1.29
9749	0.012564787	2.74
55664	0.012614739	2.84
NA	0.012647598	-1.95
4891	0.012660625	-1.37
NA	0.012682167	-2.54
NA	0.012722348	-1.39
8559	0.012878965	-1.46
147179	0.012889336	1.59
4059	0.012915698	2.63
860	0.012925951	-1.99
NA	0.012927365	1.92
NA	0.013021218	6.43
390916	0.013040652	2.68
1465	0.013041833	-3.17
NA	0.01309633	-1.29
NA	0.013121172	4.54
161742	0.013180929	-2.18
NA	0.013186306	-1.93
NA	0.013218066	1.33
64105	0.013238381	2.87
121512	0.013318241	1.51
642475	0.013321715	5.47
9435	0.013353335	-6.70
400954	0.013381467	1.90
283897	0.013409992	-1.73
NA	0.013449882	-1.62
NA	0.01346379	2.80
9609	0.013482499	-2.10
51176	0.013493083	-3.18
113763	0.013510568	8.75
101	0.013518579	5.21
NA	0.013533854	-1.32
9143	0.013537813	4.80
148229	0.013549813	-2.43
51768	0.01355071	3.42
2042	0.013552742	1.26
NA	0.013598793	2.12
160760	0.01367832	1.75
NA	0.013680406	5.81
3663	0.013691208	2.44
3417	0.013692705	-1.41
317701	0.013736222	1.40
51091	0.013744283	2.28
83538	0.013747019	-1.62
27085	0.013758107	1.49
NA	0.0137673	1.90
NA	0.01380712	-1.31
3708	0.013819979	-7.37
84306	0.01384114	3.57
333926	0.013909154	2.13
56891	0.013934877	1.39
8613	0.014002596	-7.72
7422	0.014030328	-2.60
4810	0.014034062	3.28
NA	0.014078493	-1.42
NA	0.014102297	3.69
2767	0.014114647	-2.49
4507	0.014148064	11.47
55757	0.014162716	3.84
160428	0.014163802	-2.85
27071	0.014166641	8.25
4257	0.014168665	1.45
26010	0.014171577	1.52
5774	0.014205521	3.51
51291	0.014215796	2.62
53342	0.014219615	1.54
140606	0.01425993	-22.60
554207	0.014260185	-1.26
29952	0.014263791	2.93
NA	0.014290089	6.87
NA	0.014290448	-1.32
57589	0.014346297	2.27
84656	0.01438634	-1.60
NA	0.0144509	1.25
NA	0.014462118	3.38
5337	0.014480465	1.55
NA	0.014533977	2.08
150726	0.014534232	1.85
6575	0.014563904	3.74
NA	0.014565262	-3.10
221336	0.014617485	-1.73
NA	0.014621488	4.18
161394	0.014621852	-1.55
11227	0.014626282	-3.37
23236	0.014661428	-5.51
3126	0.014694031	-3.08
23405	0.014700857	1.42
56938	0.014710864	4.71
79101	0.01472338	2.24
56243	0.014749606	1.67
57462	0.014754334	2.05
255403	0.014778051	3.65
1734	0.0148232	-7.02
55057	0.014825066	5.20
8863	0.014836053	1.42
2115	0.014862282	-2.56
NA	0.014903764	-1.32
8997	0.014923686	-1.60
23507	0.014937154	2.60
440574	0.014966479	-1.92
9749	0.015012544	3.23
1739	0.015026124	3.13
22837	0.01503932	4.69
NA	0.015059101	-1.40
NA	0.01510967	1.73
29970	0.01516831	2.55
6303	0.015197868	3.93
1000	0.015235384	-2.78
127255	0.015241528	2.64
1462	0.015277504	-8.75
NA	0.015313607	-2.72
27141	0.015322164	6.17
5356	0.015352275	-3.26
150696	0.015354602	3.60
NA	0.015365664	1.37
128218	0.015375151	3.19
158158	0.015443021	-3.61
84101	0.015458068	1.30
51361	0.01557853	5.24
NA	0.015590939	2.01
441168	0.015608877	2.55
10468	0.015626974	26.62
3400	0.015644036	-5.01
